Checking Status,Credit History,Purpose,Saving Status,Employment,Personal Status,Job,Age and Credit,Class
<0,critical/other existing credit,new car,<100,1<=X<4,male mar/wid/div/sep,skilled,737.55,bad
<0,no credits/all paid,new car,<100,4<=X<7,male single,unskilled resident,461.44,bad
<0,existing paid,new car,<100,1<=X<4,female div/sep/mar,skilled,1148.11,bad
no checking,delayed previously,business,<100,1<=X<4,male mar/wid/div/sep,skilled,607.32,bad
<0,existing paid,radio/tv,<100,<1,female div/sep/mar,skilled,853.65,bad
no checking,existing paid,furniture/equipment,<100,1<=X<4,male single,unskilled resident,552.5,bad
<0,existing paid,new car,<100,<1,male single,high qualif/self emp/mgmt,383.94,bad
0<=X<200,existing paid,furniture/equipment,<100,4<=X<7,male mar/wid/div/sep,skilled,1744.51,bad
<0,existing paid,education,<100,<1,female div/sep/mar,skilled,421.35,bad
0<=X<200,existing paid,business,<100,1<=X<4,male single,skilled,3604.56,bad
<0,existing paid,furniture/equipment,<100,1<=X<4,male single,skilled,1744.26,bad
<0,critical/other existing credit,new car,<100,>=7,male single,skilled,1128.75,bad
0<=X<200,critical/other existing credit,furniture/equipment,<100,<1,female div/sep/mar,unskilled resident,1184,bad
<0,no credits/all paid,business,<100,1<=X<4,male single,skilled,979.91,bad
0<=X<200,no credits/all paid,other,<100,1<=X<4,female div/sep/mar,high qualif/self emp/mgmt,5895.68,bad
<0,existing paid,new car,<100,>=7,male single,high qualif/self emp/mgmt,10129.28,bad
<0,existing paid,furniture/equipment,100<=X<500,unemployed,male mar/wid/div/sep,skilled,778.47,bad
<0,existing paid,furniture/equipment,<100,>=7,male single,high qualif/self emp/mgmt,1304.55,bad
<0,existing paid,radio/tv,<100,<1,female div/sep/mar,skilled,300.52,bad
<0,no credits/all paid,furniture/equipment,<100,<1,male mar/wid/div/sep,skilled,3779.6,bad
<0,no credits/all paid,new car,<100,<1,male single,skilled,320.62,bad
<0,existing paid,used car,<100,4<=X<7,male single,skilled,4015.83,bad
0<=X<200,existing paid,radio/tv,<100,<1,female div/sep/mar,skilled,367.4,bad
0<=X<200,delayed previously,radio/tv,100<=X<500,<1,male single,high qualif/self emp/mgmt,575.7,bad
>=200,existing paid,radio/tv,<100,1<=X<4,female div/sep/mar,unskilled resident,208.6,bad
0<=X<200,existing paid,education,<100,1<=X<4,male single,skilled,2640.96,bad
<0,no credits/all paid,furniture/equipment,500<=X<1000,<1,male single,skilled,1004.7,bad
no checking,existing paid,furniture/equipment,<100,<1,male mar/wid/div/sep,unskilled resident,659.19,bad
no checking,existing paid,radio/tv,100<=X<500,>=7,male single,skilled,1122.51,bad
<0,delayed previously,business,<100,4<=X<7,male single,skilled,514.8,bad
0<=X<200,existing paid,used car,500<=X<1000,<1,female div/sep/mar,skilled,1151.64,bad
no checking,existing paid,furniture/equipment,<100,unemployed,female div/sep/mar,high qualif/self emp/mgmt,2853.24,bad
<0,existing paid,new car,<100,1<=X<4,male single,unskilled resident,1802.7,bad
no checking,existing paid,radio/tv,500<=X<1000,>=7,male single,skilled,838.95,bad
0<=X<200,critical/other existing credit,radio/tv,500<=X<1000,1<=X<4,male single,unskilled resident,579.6,bad
<0,no credits/all paid,new car,<100,unemployed,female div/sep/mar,unemp/unskilled non res,345.97,bad
<0,existing paid,business,<100,>=7,male single,skilled,2626.92,bad
no checking,delayed previously,new car,<100,>=7,male single,unskilled resident,1192.86,bad
0<=X<200,no credits/all paid,new car,100<=X<500,1<=X<4,male mar/wid/div/sep,skilled,316,bad
0<=X<200,critical/other existing credit,furniture/equipment,<100,4<=X<7,male single,skilled,4109.14,bad
no checking,existing paid,business,<100,unemployed,male single,high qualif/self emp/mgmt,1598.52,bad
<0,existing paid,used car,<100,1<=X<4,male single,skilled,2139.54,bad
<0,existing paid,radio/tv,<100,1<=X<4,male single,skilled,424.35,bad
